City,State,avg_monthly_rent,pct_chg_val,med_home_val,best_time_sell,affordability,days_to_sell,job_market,public_school_ranking,top_ibs,ntop_ibs,nlocal_ibs
Commerce City,CO,1581,1.00,369279,June,94,51.38,Fair,17,,0,3
Columbia,SC,1090,4.5,147135,December,Fair,53,Weak,41,,0,3
Colorado Springs,CO,1125,7.00,293500,August,128.1,48.25,Strong,17,Zillow Offers,1,2
Columbus,OH,1000,8.50,157700,June,206,56,Fair,28,"Zillow Offers, Opendoor",2,3
Cocoa,FL,855,4.70,190661,December,119,67.38,Fair,26,,0,2
Cupertino,CA,3471,-6.50,2077366,April,140,50.13,Fair,38,,0,2
Corpus Christi,TX,981,5.30,160131,December,High,96.34,Weak,33,,0,3
Dayton,OH,808,13.9,62471,June,High,79,Weak,30,,0,3
Englewood,CO,1632,4.50,412068,August,85,47.04,Fair,17,,0,3
Ft. Myers,FL,1271,1.10,211400,June,134,110.83,Fair,26,Offerpad,1,2
